food,type,safe,controversial,notes
Acai,Fruits,True,False,prepared any way
Apple,Fruits,True,False,prepared any way
Apricot,Fruits,True,False,prepared any way
Banana,Fruits,True,False,prepared any way
Blueberry,Fruits,True,False,prepared any way
Blackberry,Fruits,True,False,prepared any way
Boysenberry,Fruits,True,False,prepared any way
Cantaloupe,Fruits,True,False,prepared any way
Cherry,Fruits,True,False,without pip
Cranberry,Fruits,True,False,prepared any way
Currant,Fruits,True,False,prepared any way
Date,Fruits,True,False,prepared any way
Elderberry,Fruits,True,False,prepared any way
Fig,Fruits,True,False,prepared any way
Gooseberry,Fruits,True,False,prepared any way
Grape,Fruits,True,True,prepared any way
Guava,Fruits,True,False,prepared any way
Honeydew melon,Fruits,True,False,prepared any way
Kiwis,Fruits,True,False,prepared any way
Kumquat,Fruits,True,False,prepared any way
Lychee,Fruits,True,False,prepared any way
Mango,Fruits,True,False,prepared any way
Nectarine,Fruits,True,False,prepared any way
Papaya,Fruits,True,False,prepared any way
Passion fruit,Fruits,True,False,prepared any way
Peache,Fruits,True,False,prepared any way
Pear,Fruits,True,False,prepared any way
Pineapple,Fruits,True,False,prepared any way
Plum,Fruits,True,False,prepared any way
Pomegranate,Fruits,True,False,prepared any way
Raspberry,Fruits,True,False,prepared any way
Starfruit,Fruits,True,False,prepared any way
Strawberry,Fruits,True,False,prepared any way
Watermelon,Fruits,True,False,prepared any way
Amaranth,Vegetables,True,False,prepared any way
Arrugula,Vegetables,True,False,prepared any way
Artichoke,Vegetables,True,False,prepared any way
Asparagus,Vegetables,True,False,prepared any way
Basil,Vegetables,True,False,prepared any way
Bean,Vegetables,True,False,prepared any way
Beet,Vegetables,True,False,prepared any way
Bok Choy,Vegetables,True,False,prepared any way
Broccoli,Vegetables,True,False,prepared any way
Brussels sprout,Vegetables,True,False,prepared any way
Cabbage,Vegetables,True,False,prepared any way
Carrot,Vegetables,True,False,prepared any way
Cauliflower,Vegetables,True,False,prepared any way
Celery,Vegetables,True,False,prepared any way
Collard,Vegetables,True,False,prepared any way
Corn,Vegetables,True,False,prepared any way
Cucumber,Vegetables,True,True,prepared any way
Dandelion,Vegetables,True,False,prepared any way
Dill,Vegetables,True,False,prepared any way
Fennel,Vegetables,True,False,prepared any way
Ginger,Vegetables,True,False,prepared any way
Kale,Vegetables,True,False,prepared any way
Mushroom,Vegetables,True,False,prepared any way
Parsley,Vegetables,True,False,prepared any way
Parsnip,Vegetables,True,False,prepared any way
Pea,Vegetables,True,False,prepared any way
Pepper,Vegetables,True,False,Bell
Potato,Vegetables,True,False,Cooked!
Pumpkin,Vegetables,True,False,prepared any way
Radicchio,Vegetables,True,False,prepared any way
Romaine Lettuce,Vegetables,True,False,prepared any way
Soybean,Vegetables,True,False,prepared any way
Spinach,Vegetables,True,False,prepared any way
Squash,Vegetables,True,False,prepared any way
Sweet Potato,Vegetables,True,False,Cooked
Swiss Chard,Vegetables,True,False,prepared any way
Tomato,Vegetables,True,True,"Ripe, No Leaves/Stem"
Zucchini/Courgette,Vegetables,True,False,prepared any way
Chicken,Proteins,True,False,prepared any way
Cheese,Proteins,True,False,"Cheddar, Swiss, Marble, Parmesan, etc."
Cottage Cheese,Proteins,True,False,prepared any way
Cricket,Proteins,True,False,prepared any way
Egg,Proteins,True,False,prepared any way
Grasshopper,Proteins,True,False,prepared any way
Lean Ground Beef,Proteins,True,False,prepared any way
Mealworm,Proteins,True,False,prepared any way
Salmon,Proteins,True,False,prepared any way
Tofu,Proteins,True,False,prepared any way
Turkey,Proteins,True,False,prepared any way
Yoghurt,Proteins,True,False,prepared any way
Almond,Miscellaneous Foods,True,True,prepared any way
Barley,Miscellaneous Foods,True,False,prepared any way
